Job_Title,Industry,Job_Status,AI_Impact_Level,Median_Salary ,Required_Education,Experience_Required(Years),Job_Openings(2024),Projected_Openings (2030),Remot_Work_Ratio(%),Automation_Risk(%),Location,Gender_Diversity(%)
Investment analyst,IT,Increasing,Moderate," $42,109.76 ",Master? Degree,5,1515,6342,55.96,28.28,UK,44.63
"Journalist, newspaper",Manufacturing,Increasing,Moderate," $1,32,298.57 ",Master? Degree,15,1243,6205,16.81,89.71,USA,66.39
Financial planner,Finance,Increasing,Low," $1,43,279.19 ",Bachelor? Degree,4,3338,1154,91.82,72.97,Canada,41.13
Legal secretary,Healthcare,Increasing,High," $97,576.13 ",Associate Degree,15,7173,4060,1.89,99.94,Australia,65.76
Aeronautical engineer,IT,Increasing,Low," $60,956.63 ",Master? Degree,13,5944,7396,53.76,37.65,Germany,72.57
"Surveyor, insurance",Manufacturing,Decreasing,High," $1,47,150.03 ",High School,7,9738,4360,30.51,7.08,UK,20.14
Dentist,Entertainment,Decreasing,High," $64,245.48 ",Associate Degree,0,1393,8206,9.74,2.49,Canada,59.27
Emergency planning/management officer,Education,Increasing,High," $72,488.15 ",High School,12,7729,4452,38.77,99.56,Australia,60.56
Visual merchandiser,Manufacturing,Decreasing,Moderate," $95,840.30 ",Associate Degree,16,1127,2375,4.29,69.03,China,48.19
Housing manager/officer,Entertainment,Decreasing,High," $1,14,672.30 ",High School,12,2800,7964,94.02,20.19,UK,31.9
"Geologist, wellsite",Entertainment,Increasing,Moderate," $1,16,427.68 ",PhD,7,1852,3700,32.89,5.54,Australia,56.02
"Runner, broadcasting/film/video",Healthcare,Decreasing,Moderate," $43,059.04 ",PhD,2,1824,7625,55.6,13.12,Australia,27.5
Press photographer,Entertainment,Decreasing,Moderate," $1,37,894.14 ",Master? Degree,3,8312,9700,59.95,95.76,India,56.06
"Biochemist, clinical",Entertainment,Increasing,Moderate," $67,908.84 ",Master? Degree,2,1872,5314,93.9,3.19,China,74.67
Town planner,Retail,Decreasing,High," $1,07,318.63 ",Associate Degree,11,7251,1090,15.25,55.15,UK,23.99
"Engineer, civil (consulting)",Healthcare,Decreasing,Moderate," $1,01,322.09 ",Associate Degree,17,1044,8832,12.92,64.18,India,56.12
Audiological scientist,Transportation,Increasing,Low," $1,09,546.76 ",Master? Degree,8,5379,8913,82.13,80.62,UK,38.87
"Clinical scientist, histocompatibility and immunogenetics",Manufacturing,Decreasing,High," $1,42,660.31 ",Master? Degree,2,2377,7307,4.29,16.88,India,56.57
Music therapist,Education,Increasing,High," $1,22,569.29 ",High School,4,2661,5588,88.17,26.8,India,34.19
Advertising copywriter,Retail,Decreasing,High," $1,22,668.89 ",Bachelor? Degree,14,7291,7469,65.94,7.14,Brazil,74.45
Commercial horticulturist,Education,Decreasing,Low," $60,874.45 ",Associate Degree,14,5892,369,43.78,95.96,UK,56.8
Secondary school teacher,Finance,Increasing,Moderate," $49,705.11 ",PhD,4,5398,3531,20.77,60.11,Germany,49.88
"Production assistant, radio",Healthcare,Increasing,Low," $59,923.23 ",High School,1,8039,3829,55.19,48.57,China,78.99
Armed forces technical officer,Retail,Increasing,Moderate," $52,060.54 ",PhD,13,8317,9078,84.29,29.58,India,53.79
Youth worker,Retail,Decreasing,Moderate," $1,10,077.96 ",Master? Degree,18,4286,8248,24.27,20.75,USA,67.62
Special effects artist,Education,Decreasing,Moderate," $1,02,393.43 ",PhD,0,348,5612,86.55,18.51,India,48.47
Ceramics designer,Transportation,Increasing,High," $73,318.63 ",Associate Degree,11,1473,8555,41.11,57.59,Brazil,32.69
Animal technologist,Transportation,Decreasing,Moderate," $72,953.11 ",Master? Degree,3,1464,6938,54.24,1.9,Canada,44.82
Firefighter,IT,Increasing,Low," $34,082.78 ",High School,4,2163,6734,87.31,90.32,Canada,48.98
Charity fundraiser,Education,Increasing,High," $41,523.13 ",Bachelor? Degree,2,7568,9624,23.23,63.1,India,38.94
Jewellery designer,Retail,Increasing,High," $62,229.93 ",High School,15,3369,3297,87.85,21.83,Canada,43.89
Ecologist,IT,Decreasing,Moderate," $1,06,122.32 ",Associate Degree,17,5407,4631,43.99,4.91,India,42.53
Operations geologist,Entertainment,Increasing,High," $1,42,549.39 ",High School,5,7635,3586,8.59,70.67,USA,26.25
Patent attorney,Entertainment,Increasing,Low," $76,323.91 ",Associate Degree,18,1334,2198,12.72,21.4,China,32.51
Media buyer,Transportation,Decreasing,Low," $79,665.42 ",PhD,20,1527,5198,76.29,41.06,China,69.95
Tour manager,Finance,Increasing,High," $1,21,435.00 ",Associate Degree,5,6840,6963,1.36,93.49,UK,26.05
Higher education careers adviser,Finance,Increasing,Low," $1,24,663.97 ",Master? Degree,9,7445,9354,53.86,35.94,UK,75.44
Fitness centre manager,Transportation,Increasing,Moderate," $41,067.95 ",Bachelor? Degree,20,3104,7299,98.89,59.01,UK,69.5
Immunologist,IT,Decreasing,Low," $1,48,115.70 ",PhD,2,7341,8522,33.47,71.87,India,20.75
Contracting civil engineer,Finance,Increasing,High," $38,486.99 ",PhD,12,9860,1304,17.25,72.21,Canada,55.07
Surgeon,Healthcare,Increasing,High," $35,799.45 ",PhD,2,6281,447,55.15,87.52,Brazil,37.04
Environmental consultant,Transportation,Decreasing,Low," $54,495.60 ",Associate Degree,20,1830,3231,11.48,48.54,India,39.11
"Engineer, electrical",Manufacturing,Increasing,Low," $65,875.53 ",PhD,3,7659,7989,31.94,31.73,Brazil,58.24
"Surveyor, commercial/residential",IT,Decreasing,Low," $60,038.64 ",Bachelor? Degree,0,3922,327,52.4,88.22,India,26.59
Customer service manager,Finance,Increasing,Low," $50,955.44 ",Bachelor? Degree,20,2523,2066,74.75,76.44,Australia,79.71
Microbiologist,Entertainment,Decreasing,Moderate," $1,13,064.81 ",Bachelor? Degree,6,5766,1439,77.68,47.32,Germany,30.38
Secretary/administrator,Retail,Increasing,Low," $97,806.70 ",Master? Degree,4,1437,272,24.61,60.71,USA,28.52
Armed forces operational officer,Finance,Increasing,Moderate," $1,02,858.12 ",High School,20,2105,7045,42.29,10.19,USA,20.25
"Therapist, horticultural",Healthcare,Decreasing,Moderate," $82,449.59 ",PhD,11,8459,4383,19.56,46.59,Australia,30.99
Architect,Healthcare,Increasing,Low," $1,47,313.07 ",Bachelor? Degree,16,7292,2487,0.79,61.68,Germany,26.25
"Engineer, structural",Education,Increasing,High," $77,792.33 ",Bachelor? Degree,7,7836,6700,71.9,36.73,Australia,63.61
Trade union research officer,IT,Decreasing,High," $82,029.69 ",Master? Degree,8,3144,3121,55.22,98.23,Brazil,60.82
Radio producer,Finance,Increasing,Moderate," $1,05,560.54 ",Master? Degree,20,7406,3389,68.35,19.84,Brazil,48.26
Primary school teacher,Manufacturing,Decreasing,High," $1,37,071.80 ",High School,0,1171,8644,74.87,52.54,India,60.76
Site engineer,Finance,Increasing,Moderate," $50,632.02 ",Master? Degree,1,1868,6591,85.62,30.27,Australia,26.77
Electrical engineer,Manufacturing,Increasing,Moderate," $88,804.87 ",Bachelor? Degree,2,5614,3475,66.17,5.43,Germany,53.48
Armed forces logistics/support/administrative officer,Retail,Decreasing,Low," $1,13,965.96 ",Associate Degree,11,2103,3229,38.63,48.58,Germany,53.01
"Programmer, systems",Finance,Increasing,Low," $1,31,852.51 ",High School,9,1876,5623,20.29,7.3,UK,22.67
Archivist,Finance,Decreasing,High," $33,072.25 ",Master? Degree,7,2569,1514,83.28,83.87,Germany,52.41
Tourist information centre manager,Retail,Increasing,High," $46,195.73 ",Associate Degree,8,7005,8436,8.68,89.63,Brazil,77.46
Occupational therapist,Manufacturing,Increasing,Moderate," $82,210.61 ",PhD,20,7442,8558,47.66,20.84,Brazil,57.67
General practice doctor,Transportation,Increasing,High," $94,118.58 ",PhD,0,4069,5391,99.88,21.59,USA,37.47
Air cabin crew,Retail,Decreasing,Low," $96,498.83 ",Master? Degree,10,815,1655,50.9,46.38,USA,74.62
"Therapist, art",Retail,Decreasing,Moderate," $74,424.16 ",PhD,5,622,2406,47.96,53.24,USA,53.94
"Lighting technician, broadcasting/film/video",Education,Decreasing,High," $76,301.45 ",Bachelor? Degree,5,9510,9086,86.47,57.29,China,43.21
Herbalist,Manufacturing,Increasing,High," $1,06,276.67 ",Master? Degree,11,813,2546,95.92,50.01,India,64.31
Technical brewer,Education,Decreasing,Moderate," $1,14,843.48 ",PhD,12,9965,2903,91.98,43.49,Brazil,46.01
Water engineer,Entertainment,Decreasing,Moderate," $33,122.25 ",Bachelor? Degree,4,187,8383,21.9,8.62,USA,28.55
Clothing/textile technologist,Finance,Decreasing,Moderate," $1,28,177.18 ",Master? Degree,12,7678,5185,22.6,54.03,Brazil,33.84
Cabin crew,Retail,Decreasing,High," $93,530.19 ",Associate Degree,15,4742,4747,92.46,19.9,UK,53.04
Estate manager/land agent,Retail,Increasing,Moderate," $41,380.56 ",PhD,5,701,3748,72.19,22.63,Germany,47.46
Database administrator,Entertainment,Decreasing,High," $61,072.12 ",Bachelor? Degree,17,5028,7954,13.43,23.69,Brazil,59.66
"Teacher, music",Manufacturing,Decreasing,High," $1,47,474.55 ",PhD,17,3722,8025,95.69,54.06,Canada,66.61
Clinical embryologist,IT,Increasing,Moderate," $99,763.19 ",Associate Degree,16,6683,3285,74.98,71.29,Australia,37.61
Photographer,Retail,Increasing,Moderate," $39,219.27 ",Bachelor? Degree,19,3161,1466,89.91,91.28,Brazil,43.23
Consulting civil engineer,Transportation,Increasing,Low," $47,345.90 ",High School,15,5603,6775,71.4,85.49,China,76.68
"Designer, multimedia",Finance,Increasing,Low," $36,480.96 ",PhD,1,3400,2048,42.57,23.04,China,62.43
Architectural technologist,Education,Increasing,High," $1,12,692.04 ",High School,16,2870,9159,51.62,50.77,China,20.36
Acupuncturist,Retail,Decreasing,Low," $53,447.29 ",Bachelor? Degree,17,7125,470,85.94,78.62,Brazil,67.13
"Engineer, technical sales",Manufacturing,Increasing,Low," $66,531.98 ",Bachelor? Degree,20,6137,8584,80.82,20.06,China,60.05
"Engineer, mining",Healthcare,Decreasing,Low," $1,15,731.01 ",PhD,12,6625,5265,96.13,78.58,China,22.78
"Investment banker, operational",Education,Increasing,High," $48,522.58 ",PhD,2,3494,1524,89.76,88.44,UK,40.62
Manufacturing engineer,Transportation,Decreasing,Low," $95,483.65 ",High School,4,5842,2181,54.32,65.13,Germany,40.78
"Librarian, public",Education,Increasing,High," $1,45,028.73 ",High School,4,7767,669,48.68,94.53,Germany,60.52
Air broker,Transportation,Decreasing,Moderate," $1,34,199.76 ",Bachelor? Degree,9,5919,7865,6.29,73.96,India,37.44
Counselling psychologist,Finance,Increasing,Low," $1,29,086.95 ",Associate Degree,10,8436,7321,86.99,92.97,Australia,27
Quarry manager,Entertainment,Decreasing,High," $78,151.66 ",PhD,12,1542,224,93.08,38.05,China,27.12
Speech and language therapist,Finance,Decreasing,Low," $1,42,772.80 ",Associate Degree,6,8551,7427,1.56,14.37,UK,73.21
Ranger/warden,Retail,Increasing,Moderate," $77,414.15 ",Associate Degree,16,1135,1815,28.29,30.13,Brazil,22.82
Animal nutritionist,Retail,Decreasing,Low," $1,32,109.73 ",PhD,9,1393,5492,44.12,82.2,China,64.51
"Engineer, civil (contracting)",Finance,Increasing,High," $1,26,030.56 ",High School,16,6398,9686,10.28,45.75,India,67.3
Hospital pharmacist,IT,Increasing,Low," $63,660.78 ",High School,8,6427,2431,35.98,45.38,Germany,64.92
Police officer,Healthcare,Increasing,Low," $73,217.20 ",Bachelor? Degree,14,1024,4511,36.72,75.12,USA,79.33
Research scientist (maths),Healthcare,Increasing,Moderate," $94,919.80 ",Bachelor? Degree,12,1339,8007,18.1,67.66,India,31.77
Radiation protection practitioner,Education,Decreasing,Moderate," $56,786.75 ",Bachelor? Degree,2,6513,5031,84.53,97.18,Brazil,61.5
Advice worker,Entertainment,Increasing,Moderate," $1,43,518.25 ",Bachelor? Degree,3,4866,2662,30.27,46.55,Canada,53.4
Meteorologist,Finance,Increasing,Low," $59,422.00 ",Associate Degree,19,4293,8258,62.32,66.46,China,70.41
"Administrator, local government",Education,Increasing,Moderate," $1,08,313.35 ",PhD,11,3020,7776,72.28,52.13,China,47.94
Museum/gallery conservator,IT,Decreasing,High," $1,15,733.83 ",Master? Degree,8,245,1348,82.8,82.18,USA,51.48
Technical author,Transportation,Increasing,Low," $74,976.70 ",PhD,9,6805,8708,54.31,48.3,Germany,59.53
Multimedia specialist,IT,Increasing,Moderate," $45,128.70 ",PhD,17,3983,4328,28.97,59.57,Germany,62.93
Counsellor,Retail,Increasing,High," $86,685.95 ",High School,3,2123,8756,6.46,98.3,China,21.56
"Engineer, maintenance (IT)",Entertainment,Decreasing,Low," $65,110.03 ",Associate Degree,20,9241,7360,97.91,61.47,Germany,32.58
Fish farm manager,Healthcare,Decreasing,Moderate," $95,591.96 ",Bachelor? Degree,19,5099,3767,3.67,29.38,UK,66.3
Ambulance person,Entertainment,Increasing,Low," $1,15,218.06 ",Master? Degree,11,5664,726,79.7,14.22,Germany,54.18
Multimedia programmer,Manufacturing,Decreasing,High," $91,153.53 ",Bachelor? Degree,17,5543,7847,42.83,97.81,China,45.09
Higher education lecturer,Manufacturing,Increasing,Moderate," $39,821.63 ",Master? Degree,9,8656,1839,18.11,68.75,Australia,48.13
Quantity surveyor,Manufacturing,Increasing,High," $95,652.17 ",Master? Degree,18,2147,200,91.86,39.85,China,79.28
Senior tax professional/tax inspector,Healthcare,Decreasing,High," $68,534.60 ",Associate Degree,0,2239,2287,16.95,11.31,UK,35.16
Interpreter,Education,Increasing,Moderate," $1,00,364.95 ",High School,9,3614,7433,83.06,9.25,UK,57.36
Animator,Finance,Increasing,Low," $56,683.32 ",Master? Degree,7,9468,1197,73.55,12.79,UK,33.48
"Exhibitions officer, museum/gallery",Entertainment,Increasing,Moderate," $40,113.86 ",PhD,1,5842,4041,99.69,29.24,India,43.07
Museum/gallery exhibitions officer,Finance,Decreasing,High," $1,22,712.77 ",PhD,13,7452,533,38.31,12.64,Germany,57.39
Press sub,Manufacturing,Increasing,Low," $1,38,559.19 ",PhD,2,1865,7124,8.34,6.68,Germany,78.01
Automotive engineer,Healthcare,Increasing,Low," $1,11,482.46 ",Bachelor? Degree,3,7139,2848,72.38,85.15,China,61.77
Contractor,Education,Decreasing,Low," $44,542.32 ",Associate Degree,12,3008,5292,93.08,56.09,Germany,55.49
"Scientist, research (maths)",Healthcare,Decreasing,High," $1,32,375.17 ",Bachelor? Degree,11,847,9885,81.56,1.97,USA,79.69
Horticultural consultant,Finance,Increasing,High," $1,37,288.73 ",PhD,10,7120,7702,9.61,26.54,China,35.75
Careers adviser,Entertainment,Decreasing,Low," $95,635.67 ",Bachelor? Degree,0,6192,575,8.04,11.56,Australia,68.89
Paediatric nurse,Manufacturing,Increasing,Low," $1,03,114.26 ",Associate Degree,6,4262,7171,27.99,72.44,Germany,64.8
Research scientist (physical sciences),Finance,Decreasing,High," $1,29,182.71 ",PhD,11,9680,9221,56.75,46.68,USA,54.16
"Programmer, applications",Education,Increasing,Low," $1,24,163.37 ",PhD,10,6069,2051,92.95,26.41,UK,64.49
Child psychotherapist,IT,Decreasing,High," $86,255.49 ",Bachelor? Degree,19,6848,6126,78.17,6.46,China,21.4
Early years teacher,Healthcare,Decreasing,Low," $98,270.84 ",Associate Degree,14,2100,4815,78,3.09,USA,35.38
Statistician,Education,Decreasing,Moderate," $66,108.46 ",Master? Degree,19,5190,9121,78.7,11.59,Germany,79.76
Advertising account executive,Retail,Increasing,Moderate," $79,247.56 ",Bachelor? Degree,18,148,4850,97.16,63.98,USA,52.83
Electronics engineer,Finance,Decreasing,High," $1,35,527.80 ",Master? Degree,13,1496,6566,48.89,91.28,Canada,20.47
Advertising account planner,Healthcare,Increasing,Low," $1,03,605.72 ",PhD,19,8653,9418,82.02,16.14,Brazil,73.22
Ergonomist,IT,Decreasing,High," $1,25,240.22 ",Bachelor? Degree,20,3266,7064,90.05,75.5,Germany,64.37
Community arts worker,Education,Decreasing,Low," $84,259.31 ",Bachelor? Degree,18,4979,5010,81.84,82.85,Germany,51.08
Accounting technician,Manufacturing,Increasing,Moderate," $1,43,698.64 ",High School,19,7183,880,26.95,62.03,Brazil,69.01
Magazine features editor,Finance,Decreasing,Moderate," $1,37,199.79 ",Master? Degree,10,2277,424,5.01,60,UK,34.43
"Engineer, building services",Education,Decreasing,High," $66,477.58 ",Associate Degree,11,9791,2123,54.69,50.28,USA,20.69
Bookseller,Entertainment,Increasing,Moderate," $89,906.41 ",Bachelor? Degree,11,3007,8110,82.73,52.83,India,50.56
Cartographer,Healthcare,Increasing,High," $1,31,835.84 ",PhD,16,6314,3279,65.18,86.96,UK,42.78
Pensions consultant,IT,Increasing,Moderate," $72,306.22 ",PhD,4,1169,9952,93.25,52.89,USA,45.55
"Designer, ceramics/pottery",IT,Increasing,Moderate," $90,734.30 ",High School,20,9306,2830,65.81,29.91,Brazil,52
Dramatherapist,Entertainment,Increasing,Moderate," $1,02,041.25 ",Associate Degree,4,7973,2664,21.48,97.04,USA,67.23
Training and development officer,Finance,Decreasing,High," $31,374.53 ",PhD,5,2519,1191,42.86,78.34,China,62.35
Museum education officer,Education,Decreasing,High," $1,06,745.24 ",Master? Degree,19,5590,5737,95.49,44.25,China,74.34
"Therapist, music",Entertainment,Increasing,High," $1,18,420.93 ",Master? Degree,3,3071,6973,70.01,82.6,Canada,22.32
Materials engineer,Healthcare,Decreasing,Moderate," $1,48,555.76 ",Bachelor? Degree,3,5613,3240,93.38,19.31,Australia,41.79
Clinical biochemist,Manufacturing,Decreasing,Low," $42,568.43 ",Bachelor? Degree,20,659,5208,33.03,25.62,Canada,61.79
Chiropodist,Retail,Increasing,Low," $90,116.03 ",High School,5,2667,1438,34.08,65.15,India,56.94
"Journalist, broadcasting",Finance,Increasing,High," $64,897.31 ",PhD,11,4540,1996,97.81,89.6,Germany,77.22
Industrial buyer,IT,Decreasing,High," $1,02,496.94 ",Associate Degree,16,2846,5782,1.07,73.08,UK,41.77
Legal executive,Healthcare,Decreasing,Moderate," $73,567.18 ",Bachelor? Degree,1,8806,833,7.78,47.06,Germany,20.12
"Doctor, hospital",IT,Increasing,Low," $1,22,469.19 ",Bachelor? Degree,6,309,5365,42.61,72,USA,73.35
Risk manager,IT,Increasing,Moderate," $54,937.19 ",High School,10,6872,2619,25.13,98.3,China,28.15
Recycling officer,IT,Increasing,Moderate," $68,625.46 ",PhD,12,103,8879,99.67,31.94,Brazil,57.07
Travel agency manager,Transportation,Decreasing,High," $1,40,291.84 ",Master? Degree,7,5362,2577,55.41,68.83,China,69.32
"Teacher, secondary school",Entertainment,Decreasing,High," $1,32,906.71 ",High School,12,8912,3043,94.05,84.35,China,55.72
Community pharmacist,Manufacturing,Increasing,Moderate," $90,408.82 ",High School,6,5240,4210,90.61,13.4,China,74.61
Publishing rights manager,Finance,Decreasing,Moderate," $80,883.54 ",Associate Degree,4,5986,4880,39.83,48.48,Brazil,31.23
Volunteer coordinator,Retail,Decreasing,Moderate," $1,13,666.81 ",PhD,20,8957,9590,50.64,64.08,UK,76.18
Musician,Transportation,Decreasing,Moderate," $1,30,024.39 ",Associate Degree,3,7274,9294,73.46,84.23,India,43.97
"Sales professional, IT",Manufacturing,Increasing,High," $62,876.30 ",Master? Degree,20,1271,3010,94.16,17.6,China,30.86
Retail banker,Entertainment,Increasing,Moderate," $46,069.15 ",Master? Degree,16,5443,7004,73.4,84.6,Australia,62.57
Games developer,Healthcare,Decreasing,High," $99,597.50 ",Bachelor? Degree,17,2428,7840,58.46,62.17,Canada,55.81
"Accountant, chartered",Finance,Decreasing,Moderate," $85,551.09 ",Bachelor? Degree,11,5257,9137,15.02,4.84,China,49.9
"Teacher, primary school",IT,Decreasing,Moderate," $78,732.58 ",Bachelor? Degree,14,2830,9661,56.16,92.38,India,77.44
IT sales professional,IT,Increasing,Low," $96,283.60 ",Associate Degree,18,5754,2434,94.27,35.21,India,44.54
Theatre stage manager,Manufacturing,Decreasing,Moderate," $89,456.87 ",Master? Degree,12,8086,4981,93.93,22.39,Brazil,42.09
Museum/gallery curator,IT,Increasing,Low," $1,34,691.05 ",PhD,19,3828,6111,23.21,17.78,USA,65.8
Petroleum engineer,Healthcare,Decreasing,Moderate," $47,291.39 ",PhD,4,9874,8279,44.42,36.64,India,39.32
Health service manager,Education,Increasing,Moderate," $1,09,893.39 ",Associate Degree,7,2214,3221,52.37,98.7,India,60.35
Planning and development surveyor,Finance,Decreasing,High," $1,20,998.27 ",PhD,7,9965,5384,73.99,70.91,Canada,59.41
Estate agent,Manufacturing,Decreasing,High," $1,29,191.86 ",Bachelor? Degree,19,5930,1998,19.42,29.27,USA,38.27
"Scientist, research (life sciences)",Manufacturing,Decreasing,Moderate," $30,183.23 ",High School,13,1702,3499,53.44,32.95,China,36.23
"Surveyor, mining",Transportation,Increasing,High," $1,33,839.11 ",Bachelor? Degree,3,4087,6573,77.49,97.02,USA,21.32
"Producer, radio",IT,Increasing,Moderate," $1,49,177.06 ",Bachelor? Degree,2,6372,7684,91.13,96.09,Brazil,22.37
"Engineer, materials",Healthcare,Decreasing,High," $1,28,939.27 ",Bachelor? Degree,3,4674,940,90.24,35.11,Australia,69.63
Public librarian,Manufacturing,Decreasing,High," $1,12,694.29 ",Bachelor? Degree,0,7127,786,41.21,38.49,Germany,31.11
Drilling engineer,Finance,Decreasing,Moderate," $1,17,168.13 ",Master? Degree,19,1803,6270,14.21,64.99,UK,73.77
Economist,IT,Increasing,Low," $85,839.95 ",Master? Degree,7,370,8428,16.21,20.95,USA,24.91
Farm manager,Healthcare,Decreasing,Moderate," $1,22,482.55 ",Bachelor? Degree,18,6336,9949,25.45,87.64,Australia,69.66
Location manager,Transportation,Increasing,Low," $1,28,987.36 ",High School,10,316,6617,43.49,87.46,UK,71.1
Amenity horticulturist,Education,Increasing,High," $1,44,279.99 ",High School,6,581,6806,16.19,11.67,Germany,71.64
Special educational needs teacher,Education,Increasing,Low," $1,03,008.10 ",Bachelor? Degree,20,9655,8179,14.69,97.36,Brazil,23.19
Mental health nurse,Education,Decreasing,High," $63,364.07 ",PhD,8,9737,3603,51.88,81.05,Brazil,24.48
Hydrologist,Transportation,Increasing,Low," $1,06,420.71 ",Bachelor? Degree,20,6636,6527,1.66,49.82,Canada,40.94
Bonds trader,Manufacturing,Increasing,Moderate," $1,29,374.84 ",Associate Degree,18,7815,9402,75.29,70.53,India,79.53
Product manager,Healthcare,Increasing,Low," $1,23,066.75 ",PhD,2,9481,4889,56,63.09,China,22.03
"Production assistant, television",Entertainment,Increasing,Low," $1,09,282.35 ",Associate Degree,3,994,1417,24.76,4.89,China,55.65
Minerals surveyor,Finance,Increasing,Moderate," $49,382.62 ",Bachelor? Degree,1,3742,4073,79.82,91.02,India,38.2
"Engineer, chemical",Finance,Increasing,Moderate," $66,741.46 ",Master? Degree,13,2992,3517,62.79,5.14,Canada,46.21
Environmental health practitioner,Healthcare,Increasing,Low," $99,117.62 ",High School,18,765,3065,85.55,40.52,Germany,77.9
"Teacher, early years/pre",Healthcare,Decreasing,Low," $1,23,289.32 ",Master? Degree,18,6949,1766,10.19,40.26,Germany,67.83
"Scientist, product/process development",Healthcare,Increasing,Low," $88,443.27 ",PhD,16,121,8613,5.53,15.39,Germany,55.01
Civil Service fast streamer,Transportation,Increasing,Moderate," $1,27,590.49 ",Associate Degree,5,1028,2850,80.8,86.4,Australia,64.9
Hospital doctor,Retail,Increasing,Low," $68,766.22 ",Master? Degree,4,2402,6663,72.03,98.8,China,29.92
Aid worker,IT,Increasing,High," $65,837.11 ",Bachelor? Degree,3,9480,7096,96.22,20.69,Canada,23.03
Chartered accountant,Manufacturing,Increasing,Low," $50,235.18 ",Bachelor? Degree,20,8311,9401,86.15,63.28,Australia,31.36
Chief of Staff,Manufacturing,Decreasing,Moderate," $98,958.74 ",Bachelor? Degree,17,7923,1834,98.04,67.52,USA,46
"Scientist, biomedical",Retail,Decreasing,Low," $1,25,383.44 ",Associate Degree,0,618,8944,93.99,40.74,USA,61.43
"Designer, fashion/clothing",Healthcare,Decreasing,Low," $1,13,297.32 ",Associate Degree,8,9548,7281,82.78,79.61,USA,27.5
Information systems manager,Transportation,Increasing,High," $1,13,991.59 ",Associate Degree,12,7530,390,69.98,87.79,USA,71.88
Broadcast presenter,Finance,Increasing,Low," $76,181.86 ",High School,6,6281,7520,49.96,12.27,Brazil,20.76
Physiotherapist,Finance,Increasing,Low," $54,341.13 ",Associate Degree,17,6967,6939,69.48,10.07,Germany,44.41
Oceanographer,Manufacturing,Increasing,High," $70,841.05 ",Bachelor? Degree,11,4046,1708,37.3,7.09,Australia,33.01
Interior and spatial designer,IT,Increasing,Low," $94,442.20 ",Master? Degree,12,7885,4787,92.82,8.66,USA,68.68
"Engineer, manufacturing systems",Transportation,Decreasing,High," $1,49,781.35 ",PhD,8,331,9524,68.44,76.12,China,37.94
Charity officer,Education,Increasing,Moderate," $77,432.87 ",High School,3,152,5053,13.01,80.8,India,53.82
Tax inspector,Education,Decreasing,Low," $1,44,115.67 ",Bachelor? Degree,3,5237,2017,96.21,85.85,Canada,49.69
Commissioning editor,Retail,Increasing,High," $47,537.77 ",Bachelor? Degree,6,4198,7195,2.01,70.85,India,65.91
Theatre manager,Manufacturing,Increasing,High," $44,557.58 ",Bachelor? Degree,7,8600,8451,49.05,83.13,Brazil,65.64
Sales promotion account executive,Finance,Decreasing,Low," $34,014.29 ",Bachelor? Degree,4,9153,4251,72.94,70.21,India,48.75
Health promotion specialist,Transportation,Increasing,Low," $82,613.90 ",Master? Degree,19,8168,247,94.57,80.17,USA,78.47
Mechanical engineer,Healthcare,Decreasing,High," $1,39,546.53 ",Master? Degree,2,8634,6057,20.93,36.43,India,23.45
Public relations officer,Healthcare,Decreasing,Moderate," $1,14,687.70 ",High School,17,1573,4576,39.34,59.74,USA,32.08
Television production assistant,Healthcare,Decreasing,High," $1,16,137.46 ",Master? Degree,20,6994,7015,90.45,94.18,Canada,72.82
Clinical psychologist,Education,Decreasing,High," $65,559.22 ",Associate Degree,8,3836,7536,98.5,44.05,Australia,70.7
