Job_Title,Industry,Job_Status,AI_Impact_Level,Median_Salary ,Required_Education,Experience_Required(Years),Job_Openings(2024),Projected_Openings (2030),Remot_Work_Ratio(%),Automation_Risk(%),Location,Gender_Diversity(%)
"Therapist, sports",Manufacturing,Increasing,Moderate," $83,069.03 ",Associate Degree,18,391,208,91.12,22.2,UK,36.54
Operational researcher,Manufacturing,Increasing,Low," $95,366.41 ",Master? Degree,12,292,6344,96.37,86.86,India,25.52
Barrister's clerk,IT,Increasing,Low," $37,854.07 ",PhD,14,5114,9427,54.63,8.6,India,23.72
"Restaurant manager, fast food",Entertainment,Increasing,High," $1,49,210.87 ",High School,16,6670,4616,58.55,17.67,India,25.32
Hydrographic surveyor,Entertainment,Increasing,Moderate," $1,18,259.44 ",Associate Degree,0,3036,532,57.55,13.25,China,55.39
Structural engineer,Healthcare,Decreasing,High," $51,009.73 ",Bachelor? Degree,1,8821,8414,77.77,57.67,UK,75.05
"Embryologist, clinical",Healthcare,Increasing,High," $56,589.18 ",Bachelor? Degree,18,7603,9373,22.94,76.18,Canada,37.94
Rural practice surveyor,Entertainment,Decreasing,Low," $92,321.26 ",High School,3,6255,7605,63.01,32.7,Germany,59.19
IT trainer,Healthcare,Increasing,High," $65,535.14 ",High School,11,3353,3315,85.67,32.69,China,67.71
"Therapist, speech and language",Healthcare,Decreasing,Low," $32,579.31 ",High School,1,5281,9162,1.32,87.18,India,62
Retail merchandiser,Education,Decreasing,Low," $94,086.63 ",Associate Degree,5,6138,9078,15.18,18.46,Canada,28.45
Art therapist,Healthcare,Increasing,Moderate," $1,36,311.03 ",Associate Degree,3,4444,4111,41.62,50.11,USA,34.42
Learning disability nurse,Healthcare,Decreasing,Moderate," $31,470.17 ",Master? Degree,3,7005,1317,77.44,16.94,India,51.34
Freight forwarder,Transportation,Decreasing,Low," $38,468.62 ",Master? Degree,8,816,8572,12.59,96.58,Brazil,30.25
Personnel officer,Transportation,Increasing,Low," $89,565.74 ",Associate Degree,1,2954,6905,32.06,31.5,Germany,24.64
Insurance account manager,Finance,Decreasing,Moderate," $88,751.63 ",Associate Degree,12,132,3465,57.47,50.52,Australia,46.06
Facilities manager,Education,Decreasing,Moderate," $93,798.77 ",Associate Degree,18,6655,3606,84.63,59.7,Canada,67.22
"Conservator, furniture",Education,Increasing,Moderate," $90,042.43 ",PhD,10,6188,3378,22.78,45.57,UK,47.18
"Programme researcher, broadcasting/film/video",Transportation,Decreasing,Low," $85,425.31 ",High School,6,7041,6576,0.9,12.39,Germany,42.62
Systems analyst,Finance,Increasing,Low," $60,289.24 ",Master? Degree,17,5493,9515,55.02,81.88,UK,30.61
"Scientist, clinical (histocompatibility and immunogenetics)",Retail,Increasing,Low," $1,02,851.29 ",Master? Degree,3,8693,6605,79.6,82.14,Canada,60.05
Technical sales engineer,Transportation,Decreasing,Low," $51,133.73 ",Bachelor? Degree,5,9951,4420,28.41,25.4,USA,72.23
"Scientist, marine",Entertainment,Increasing,Low," $82,167.48 ",Master? Degree,16,7276,7888,63.11,25.98,Canada,59.29
Restaurant manager,IT,Decreasing,Moderate," $48,477.91 ",Bachelor? Degree,16,8673,6032,5.84,61.47,Brazil,58
Camera operator,Education,Decreasing,High," $37,825.96 ",PhD,7,5710,8747,2.09,94.25,Australia,26.33
Glass blower/designer,Finance,Decreasing,Moderate," $1,35,747.39 ",Associate Degree,20,9434,4112,93.62,72.75,China,38.54
Toxicologist,Entertainment,Decreasing,Low," $1,03,780.87 ",High School,2,440,9689,93.12,87.02,USA,62.61
Cytogeneticist,Transportation,Decreasing,Low," $65,590.09 ",Bachelor? Degree,19,1091,108,80.47,81.52,Germany,58.18
Stage manager,Healthcare,Increasing,High," $1,23,366.48 ",PhD,10,9493,228,9.85,29.85,UK,47.27
Biomedical scientist,Entertainment,Increasing,Moderate," $59,183.80 ",Bachelor? Degree,14,1822,3111,27.86,69.28,Canada,53.09
Accommodation manager,IT,Decreasing,High," $1,27,902.63 ",Associate Degree,18,7050,4034,28.34,55.6,China,56.3
"Scientist, forensic",Entertainment,Increasing,High," $97,079.77 ",High School,18,4197,6712,9.87,21.98,UK,69.02
Actor,IT,Increasing,High," $1,15,913.36 ",High School,4,9480,8602,51.65,17.08,Australia,64.91
Media planner,Manufacturing,Increasing,High," $90,289.64 ",Master? Degree,10,9826,9875,57.35,83.14,UK,52.04
"Surveyor, hydrographic",Education,Increasing,Low," $58,084.64 ",Bachelor? Degree,18,767,9529,26.49,53.42,Brazil,28.59
Seismic interpreter,Finance,Increasing,High," $61,737.13 ",Associate Degree,11,2475,6551,74.5,26.38,Australia,26.65
Biomedical engineer,Healthcare,Increasing,Moderate," $72,256.01 ",High School,15,6326,8565,65.92,50.52,UK,41
"Doctor, general practice",IT,Decreasing,High," $1,12,019.23 ",PhD,8,2233,6282,44.3,92.16,Germany,52.92
Graphic designer,Finance,Increasing,High," $1,21,789.84 ",Associate Degree,6,7011,8350,57.4,19.77,Brazil,35.16
Set designer,Entertainment,Increasing,Low," $80,401.70 ",Master? Degree,19,2605,7354,10.15,21.99,USA,30.62
Writer,Entertainment,Increasing,High," $1,14,743.99 ",Master? Degree,8,3834,8519,78.65,11.68,UK,46.94
Equality and diversity officer,Healthcare,Increasing,Moderate," $46,372.25 ",Associate Degree,20,5132,9700,43.89,81.96,China,78.21
Art gallery manager,Retail,Increasing,Moderate," $1,47,669.21 ",High School,20,1644,7632,86.64,41.42,Germany,41.97
Intelligence analyst,Education,Decreasing,High," $94,804.80 ",Master? Degree,13,4476,6933,31.1,92.36,USA,72.79
Lobbyist,Manufacturing,Decreasing,High," $84,456.07 ",High School,5,8858,6231,46.28,0.31,USA,27.19
Insurance claims handler,Entertainment,Increasing,Low," $1,48,610.83 ",Bachelor? Degree,6,7847,5309,81.98,16.45,Germany,43.09
Politician's assistant,Finance,Decreasing,Moderate," $1,27,396.69 ",Bachelor? Degree,15,3582,5296,91.35,71.92,Brazil,23.75
Television camera operator,Entertainment,Increasing,Moderate," $1,01,166.28 ",Bachelor? Degree,7,5196,6716,96.98,46.27,Brazil,52.45
Midwife,Finance,Increasing,High," $98,926.72 ",Associate Degree,8,7245,4459,3.07,61.51,Australia,28.32
"Social research officer, government",Education,Decreasing,Low," $70,195.44 ",PhD,16,2999,250,75.34,64.46,India,44.36
Company secretary,IT,Decreasing,Low," $1,17,123.79 ",Bachelor? Degree,6,4926,4568,57.09,60.35,UK,48.58
"Development worker, community",Manufacturing,Increasing,Moderate," $45,542.66 ",Associate Degree,10,7546,759,93.57,56.6,Germany,21.66
Conference centre manager,Transportation,Increasing,Moderate," $47,176.05 ",High School,16,9788,2603,32.85,20.58,Australia,28.7
Magazine journalist,Manufacturing,Decreasing,High," $46,892.62 ",Bachelor? Degree,11,3469,6641,48.82,42.82,Australia,47.84
"Engineer, land",Finance,Increasing,Moderate," $99,698.68 ",Bachelor? Degree,13,9089,4916,97.51,91.08,USA,62.22
"Engineer, automotive",Transportation,Decreasing,Low," $87,610.03 ",Associate Degree,6,5301,6979,28.89,56.48,UK,28.16
Computer games developer,Entertainment,Increasing,Moderate," $90,897.66 ",High School,8,2666,9097,66.18,42.51,China,65.54
Film/video editor,Manufacturing,Decreasing,Low," $1,29,932.16 ",Master? Degree,12,231,1221,59.9,17.43,USA,69.16
"Research officer, government",Education,Increasing,Moderate," $1,40,050.64 ",Bachelor? Degree,9,1653,297,38.55,24.01,Germany,61.46
"Teacher, adult education",Entertainment,Increasing,High," $90,268.75 ",Master? Degree,4,4215,4490,9.21,75.53,India,58.64
"Designer, interior/spatial",Retail,Increasing,Moderate," $1,23,223.66 ",High School,19,6208,1837,76.09,1.18,Brazil,25.22
Landscape architect,Retail,Increasing,Low," $63,855.27 ",Bachelor? Degree,17,844,210,44.84,94.71,UK,70.51
"Conservation officer, nature",Transportation,Decreasing,High," $1,01,241.93 ",High School,16,2804,9093,85.06,20.32,India,66.42
Data scientist,Education,Increasing,High," $1,38,332.71 ",Associate Degree,12,9171,1416,42.13,9.52,China,28.24
TEFL teacher,Education,Increasing,High," $1,46,274.01 ",PhD,3,1124,3351,58.52,80.68,USA,27.65
Dietitian,Education,Decreasing,High," $98,114.85 ",PhD,14,5853,672,33.29,10.45,Brazil,46.14
Forensic psychologist,IT,Increasing,Moderate," $91,764.70 ",Master? Degree,14,5063,3728,46.32,34.63,Germany,78.16
Records manager,Transportation,Decreasing,Moderate," $97,332.07 ",Associate Degree,9,5101,7044,4.67,50.26,Canada,54.23
"Education officer, museum",Retail,Decreasing,Moderate," $91,613.77 ",Associate Degree,16,4250,3839,45.19,18.58,Canada,29.96
Maintenance engineer,Retail,Decreasing,High," $1,08,075.44 ",Bachelor? Degree,5,9712,8909,38.95,42.13,Australia,65.66
"Engineer, aeronautical",Healthcare,Decreasing,Low," $82,698.13 ",PhD,20,8305,6830,79.75,85.74,USA,68
Field seismologist,Entertainment,Decreasing,Low," $1,25,354.94 ",High School,19,4128,8196,74.31,65.53,Brazil,50.55
Soil scientist,Healthcare,Increasing,High," $41,448.74 ",High School,2,4641,2152,93.04,90.68,China,45.8
Nutritional therapist,Retail,Decreasing,Low," $62,230.63 ",Master? Degree,19,6292,8381,10.36,5.77,Germany,49.41
"Research officer, trade union",Entertainment,Decreasing,Moderate," $1,38,582.84 ",High School,18,787,6542,79.92,65.04,Germany,20.19
Further education lecturer,Manufacturing,Decreasing,Moderate," $65,956.79 ",Master? Degree,20,4932,8631,22.24,50.51,Canada,34.23
Fisheries officer,Retail,Increasing,High," $74,574.34 ",High School,5,4588,4476,76.44,65.41,Australia,48.75
"Designer, graphic",Entertainment,Increasing,Low," $1,14,452.28 ",PhD,4,6775,2540,77.41,67.84,Canada,28.84
Heritage manager,Finance,Increasing,Moderate," $1,15,363.40 ",Associate Degree,12,5566,7148,85.44,46.57,Canada,41.22
"Engineer, maintenance",Healthcare,Increasing,High," $40,305.58 ",PhD,16,3321,8441,26.06,20.99,Brazil,25.66
Armed forces training and education officer,IT,Increasing,High," $59,737.28 ",PhD,1,9221,1965,54.97,19.51,Germany,79.78
Tax adviser,Healthcare,Decreasing,Low," $1,37,859.86 ",Master? Degree,18,2527,309,69.77,4.22,China,75.42
Banker,Education,Increasing,Moderate," $57,794.61 ",PhD,5,3202,8017,97.76,1.55,China,61.04
Field trials officer,IT,Decreasing,High," $1,36,997.81 ",Master? Degree,14,8230,6103,59.19,76.47,UK,33.62
"Surveyor, building",Education,Increasing,Low," $45,501.57 ",PhD,5,4315,3229,39.76,12.69,Brazil,51.06
Geoscientist,Finance,Decreasing,Moderate," $62,420.32 ",Associate Degree,19,5272,3936,80.26,4.23,India,70.76
"Designer, exhibition/display",Transportation,Increasing,Low," $87,977.07 ",Associate Degree,3,2231,5646,86.72,5.35,USA,74.68
"Surveyor, minerals",Transportation,Decreasing,Moderate," $94,293.12 ",High School,9,258,581,59.09,28.99,Brazil,28.97
Merchant navy officer,Education,Decreasing,Moderate," $1,28,669.68 ",Associate Degree,10,486,7907,96.99,1.24,Canada,40.75
"Horticulturist, commercial",Finance,Decreasing,Low," $1,46,562.53 ",Bachelor? Degree,0,7826,1907,47.8,72.07,Canada,44.06
Television/film/video producer,Transportation,Increasing,Moderate," $71,172.97 ",Associate Degree,6,2759,144,28.83,92.79,USA,78.37
"Designer, television/film set",Healthcare,Decreasing,Moderate," $1,20,625.79 ",Bachelor? Degree,15,6600,1833,81.94,9.48,Germany,73.06
"Scientist, water quality",IT,Decreasing,Moderate," $95,157.02 ",Associate Degree,20,555,8404,2.11,4.56,China,38.59
Equities trader,Education,Increasing,Low," $1,16,936.25 ",Bachelor? Degree,11,7157,7680,71.74,84.74,Canada,52.65
"Designer, textile",Education,Increasing,Moderate," $1,46,656.89 ",Master? Degree,12,4326,3591,65.86,99.88,India,75.22
Broadcast journalist,Education,Increasing,Low," $93,635.20 ",PhD,11,9249,8237,16.13,36.48,Australia,29.2
Chief Financial Officer,Transportation,Increasing,Moderate," $1,17,131.42 ",Associate Degree,11,4212,5289,72.67,87.98,USA,71.25
Proofreader,Retail,Increasing,Moderate," $62,736.25 ",Bachelor? Degree,4,7027,7632,65.13,33.92,Germany,24.49
Race relations officer,Retail,Decreasing,Moderate," $44,241.70 ",High School,15,4896,3621,85.52,69.46,UK,21.55
"Psychologist, counselling",Finance,Increasing,Moderate," $95,109.31 ",Bachelor? Degree,1,210,5156,87.87,43.09,UK,42.74
Paramedic,Finance,Increasing,High," $1,25,117.59 ",PhD,20,5387,3056,59.18,17.96,Australia,42.65
Ophthalmologist,IT,Decreasing,High," $75,308.38 ",High School,18,471,5322,38.13,26.99,Australia,32.82
Prison officer,Entertainment,Decreasing,High," $82,657.61 ",PhD,6,336,3270,21.37,11.43,Germany,42.71
Therapeutic radiographer,Entertainment,Decreasing,Moderate," $94,014.70 ",Master? Degree,11,6142,2661,51.43,44.28,Australia,28.86
Agricultural consultant,Retail,Decreasing,High," $86,158.82 ",Bachelor? Degree,11,5439,4625,67.17,62.72,Germany,23.85
Chartered loss adjuster,Education,Increasing,Low," $1,16,283.66 ",High School,10,3003,9975,73.67,91.65,USA,25.6
Mining engineer,Education,Decreasing,High," $45,746.38 ",Bachelor? Degree,14,6285,1715,7.97,43.49,Brazil,59.8
Astronomer,Education,Decreasing,Moderate," $34,272.24 ",Master? Degree,9,607,293,31.44,72.76,USA,64.66
"Scientist, physiological",Entertainment,Increasing,Low," $1,31,785.60 ",High School,3,1880,8595,95.25,85.7,India,69.29
"Development worker, international aid",Transportation,Increasing,High," $64,706.09 ",Master? Degree,19,7226,5122,2.7,81.51,Canada,31.07
Chief Operating Officer,Healthcare,Decreasing,Moderate," $30,451.63 ",Master? Degree,19,3378,4461,33.29,0.12,Germany,76.65
"Physicist, medical",Finance,Increasing,Moderate," $1,37,418.49 ",PhD,3,5445,4742,67.14,31.59,Brazil,67
Trading standards officer,Finance,Increasing,Low," $1,27,968.80 ",PhD,14,5747,7574,23.52,7.71,Canada,61.69
Nature conservation officer,Education,Decreasing,Moderate," $64,170.70 ",Master? Degree,1,9745,668,76.43,62.51,USA,69.62
"Engineer, petroleum",Retail,Decreasing,High," $84,813.21 ",High School,9,7611,8175,41.19,41.13,UK,53.21
Adult nurse,Entertainment,Decreasing,Low," $33,013.35 ",Associate Degree,2,9233,1332,10.19,80.27,Brazil,65.76
Community education officer,Transportation,Decreasing,Moderate," $60,983.71 ",High School,4,5062,4916,33.83,44.75,UK,69.62
Exhibition designer,Manufacturing,Decreasing,Low," $32,587.65 ",High School,20,4117,6381,35.06,20.59,Australia,42.54
Psychiatric nurse,Retail,Decreasing,High," $1,12,373.28 ",PhD,19,9025,5742,75.45,20.26,Canada,41.14
Metallurgist,Education,Increasing,High," $52,494.07 ",Bachelor? Degree,14,9625,6949,25.03,76.46,Australia,66.27
Marketing executive,Retail,Increasing,Moderate," $1,47,258.59 ",PhD,12,3800,1779,18.6,17.41,UK,31.15
"Therapist, nutritional",Retail,Increasing,Low," $1,37,038.71 ",High School,20,2922,7425,24.99,69.81,UK,37.68
Applications developer,Retail,Increasing,Moderate," $1,25,383.15 ",High School,2,5938,3345,83.06,47.43,China,26.31
"Engineer, communications",Retail,Decreasing,High," $1,24,175.19 ",Master? Degree,19,543,8017,3.27,7.46,Australia,63.94
Public house manager,Finance,Increasing,High," $1,15,524.50 ",PhD,10,7578,6340,87.51,43.45,Germany,69.12
Air traffic controller,Education,Increasing,Low," $69,701.34 ",Associate Degree,6,9785,1236,96.24,79.78,USA,74.67
Printmaker,Finance,Increasing,Moderate," $74,915.31 ",High School,20,278,4367,75.3,58.22,Canada,67.43
Personal assistant,Transportation,Increasing,Moderate," $1,27,587.18 ",PhD,16,5052,9805,96.73,18.74,India,26.27
"Scientist, audiological",Healthcare,Decreasing,Low," $70,926.17 ",Associate Degree,12,4061,4112,50.34,58.66,Germany,36.36
"Engineer, manufacturing",Manufacturing,Increasing,Low," $44,111.27 ",Associate Degree,7,7340,9086,94.33,36.69,UK,22.4
Sports development officer,Transportation,Decreasing,Low," $1,17,468.91 ",Associate Degree,4,5897,4112,47.8,49.47,India,29.33
Clinical cytogeneticist,IT,Decreasing,High," $1,45,358.34 ",Associate Degree,17,8872,9265,90.48,80.18,USA,61.77
Health visitor,Education,Increasing,Moderate," $67,147.01 ",Associate Degree,2,7068,5213,80.52,17.44,Canada,67.37
Hotel manager,Transportation,Decreasing,High," $1,41,622.43 ",High School,14,979,2023,40.67,61.44,Australia,21.49
Network engineer,Retail,Increasing,Moderate," $1,44,936.42 ",Bachelor? Degree,18,3317,3978,96.25,85.4,Brazil,49.49
Oncologist,Entertainment,Decreasing,High," $1,26,163.80 ",Associate Degree,18,4278,3019,67.43,44.12,Germany,39.52
Warden/ranger,Education,Increasing,Low," $31,442.90 ",Bachelor? Degree,20,4820,9845,59.31,73.27,India,65.82
Barrister,Education,Decreasing,Low," $65,373.45 ",Bachelor? Degree,19,7883,2624,9.72,21.3,Canada,42.2
Chief Strategy Officer,Healthcare,Decreasing,Low," $85,301.08 ",Bachelor? Degree,18,3832,7466,83.04,18.62,USA,53.38
IT technical support officer,IT,Increasing,Moderate," $1,08,433.28 ",Associate Degree,14,3438,3903,53.22,1.16,UK,73.58
"Investment banker, corporate",IT,Decreasing,High," $1,48,606.53 ",Master? Degree,4,2588,4039,16.14,29.87,UK,78.62
Warehouse manager,Healthcare,Increasing,Moderate," $32,477.05 ",Bachelor? Degree,11,677,1529,89.04,88.13,India,71.02
"Engineer, energy",Retail,Decreasing,Low," $57,658.01 ",High School,18,4405,9982,99.18,66.39,India,27.03
Pharmacologist,Entertainment,Decreasing,Low," $1,25,355.67 ",High School,9,2849,7297,50.24,58.59,USA,78.25
Operational investment banker,Manufacturing,Decreasing,Moderate," $52,034.99 ",Bachelor? Degree,5,4141,9813,46.74,82.4,China,64.34
"Psychologist, prison and probation services",Transportation,Increasing,High," $64,589.18 ",Bachelor? Degree,0,3133,8007,9.89,23.82,India,51.26
Physiological scientist,IT,Decreasing,Low," $1,43,151.93 ",Bachelor? Degree,8,2529,4061,45.52,85.71,Canada,72.68
Herpetologist,IT,Increasing,Low," $1,19,213.52 ",PhD,13,792,1029,44.2,13.96,China,44.6
Catering manager,IT,Decreasing,High," $1,26,621.95 ",Master? Degree,15,9977,2537,8.55,33.19,UK,32.16
Quality manager,Manufacturing,Increasing,Moderate," $41,578.33 ",Associate Degree,8,4686,7092,70.49,41.23,USA,39.48
"Therapist, drama",Transportation,Increasing,Low," $78,689.31 ",High School,9,1991,1954,23.08,20.41,Germany,37.52
Chartered public finance accountant,Finance,Increasing,Moderate," $78,436.13 ",High School,8,5541,7134,43.64,42.78,Brazil,76.92
Clinical research associate,Entertainment,Decreasing,Moderate," $1,10,367.31 ",Bachelor? Degree,20,2109,8849,32.9,91.1,India,30.4
Podiatrist,IT,Decreasing,High," $80,428.54 ",High School,8,4112,8157,24.9,90.78,Brazil,56.82
Health and safety adviser,Education,Increasing,Moderate," $84,600.72 ",Master? Degree,12,1378,2740,49.25,65.99,Brazil,36.3
Holiday representative,IT,Decreasing,Moderate," $58,668.43 ",Bachelor? Degree,17,2108,3596,31.68,45.17,India,55.64
Office manager,Retail,Decreasing,High," $99,831.22 ",Master? Degree,3,9067,6943,7.42,15.24,UK,79.2
"Accountant, chartered certified",IT,Increasing,Moderate," $1,37,780.17 ",High School,13,9692,2103,2.52,34.05,Brazil,23.24
Retail manager,Healthcare,Decreasing,High," $80,871.90 ",Master? Degree,15,3830,1414,57.65,40.32,Germany,70.1
Engineering geologist,Entertainment,Increasing,Low," $1,28,209.41 ",PhD,12,3934,7420,67.35,75.58,China,31.26
International aid/development worker,Finance,Decreasing,High," $87,011.66 ",Master? Degree,0,3512,5647,96.65,24.32,Australia,55.33
Public relations account executive,Retail,Decreasing,Moderate," $1,28,514.34 ",PhD,7,6295,7238,56.04,47.21,Brazil,59.96
"Conservation officer, historic buildings",Finance,Decreasing,Low," $99,104.82 ",Associate Degree,5,6043,4613,45.81,86.09,UK,61.79
Adult guidance worker,Transportation,Decreasing,Moderate," $1,40,633.22 ",Bachelor? Degree,13,5715,7353,50.04,21.91,USA,76.21
Artist,IT,Increasing,Low," $57,734.78 ",Master? Degree,15,4806,8634,62.75,57.03,Canada,65.92
Historic buildings inspector/conservation officer,Manufacturing,Decreasing,Moderate," $93,453.92 ",High School,7,2070,1184,59.07,81.4,Brazil,27.64
Scientific laboratory technician,Education,Decreasing,Low," $55,187.99 ",PhD,3,3835,5338,41.25,60.74,India,33.38
Medical sales representative,Transportation,Increasing,Moderate," $35,849.66 ",PhD,17,5529,2740,59.76,30.42,China,67.71
"Merchandiser, retail",IT,Decreasing,High," $45,336.60 ",Bachelor? Degree,16,1829,572,8.57,60.76,Australia,72.04
Theatre director,Transportation,Increasing,Moderate," $46,156.02 ",Associate Degree,7,4645,7139,64.4,66.55,Canada,29.17
Human resources officer,Healthcare,Decreasing,Moderate," $1,24,595.65 ",High School,18,9358,1185,89.75,14.22,Brazil,24.35
Diagnostic radiographer,IT,Decreasing,High," $1,30,987.64 ",High School,20,6067,8499,14.4,86.61,China,69.28
"Nurse, adult",Finance,Increasing,Low," $1,33,024.01 ",Master? Degree,11,2005,9976,53.03,55.66,Germany,63.13
Sports coach,IT,Decreasing,Moderate," $1,38,477.47 ",Bachelor? Degree,10,8505,8828,61.47,90.58,Germany,47.7
Energy manager,Finance,Increasing,Moderate," $1,41,414.22 ",PhD,6,5232,6738,8.33,73.02,Brazil,58.53
Medical technical officer,Transportation,Decreasing,Low," $87,887.08 ",High School,10,4087,1305,97.68,58.14,India,39.8
Associate Professor,Entertainment,Decreasing,Low," $75,014.95 ",Associate Degree,20,204,6151,72.7,23.2,Canada,79.1
Risk analyst,IT,Decreasing,High," $79,445.61 ",Bachelor? Degree,15,306,9623,96.88,43.94,Australia,21.66
Health physicist,Entertainment,Decreasing,Low," $89,432.55 ",Bachelor? Degree,12,9401,712,98.54,14.45,China,28.26
Outdoor activities/education manager,Education,Decreasing,Moderate," $33,544.39 ",Bachelor? Degree,1,8114,9397,92.31,94,Germany,67.58
Leisure centre manager,Manufacturing,Decreasing,High," $1,09,878.96 ",Associate Degree,4,2727,3945,18.64,79.49,USA,75.44
Medical secretary,Finance,Increasing,Moderate," $64,302.12 ",High School,6,5705,9273,30.65,99.24,Germany,39.25
Logistics and distribution manager,Retail,Decreasing,Moderate," $1,24,710.04 ",Master? Degree,17,7618,5485,69.67,82.43,India,20.66
Make,Entertainment,Decreasing,High," $66,957.48 ",Associate Degree,0,5372,5672,24.16,25.34,Brazil,72.54
Dispensing optician,Finance,Decreasing,High," $80,423.92 ",Bachelor? Degree,17,2888,8067,33.5,41.35,UK,65.91
Phytotherapist,Entertainment,Decreasing,Moderate," $40,339.78 ",Master? Degree,13,9824,5254,33.59,86.89,Canada,50.54
"Surveyor, rural practice",Finance,Increasing,Moderate," $1,36,116.80 ",PhD,5,8418,8973,64.77,42.54,USA,74.65
Furniture conservator/restorer,Entertainment,Decreasing,High," $1,13,451.73 ",High School,3,9785,3720,99.15,93.83,Brazil,56.57
Occupational hygienist,Healthcare,Decreasing,High," $76,209.21 ",High School,10,3523,2802,67.74,2.21,India,38.13
"Administrator, education",Transportation,Increasing,Moderate," $52,640.23 ",Bachelor? Degree,0,2292,1590,1.03,21.3,UK,26.27
Dance movement psychotherapist,Manufacturing,Increasing,Moderate," $40,927.10 ",Bachelor? Degree,2,4390,8256,91.27,44.18,UK,39.65
Immigration officer,Healthcare,Increasing,Low," $1,29,734.43 ",Bachelor? Degree,8,3709,5027,82.53,24.34,Germany,45.73
Research scientist (medical),Manufacturing,Decreasing,High," $46,821.62 ",PhD,17,4144,2378,61.12,19.46,India,53.78
Newspaper journalist,Education,Increasing,Moderate," $1,44,854.66 ",PhD,19,6951,6132,68.08,2.13,Australia,61.21
Research scientist (life sciences),IT,Decreasing,Low," $91,636.07 ",Bachelor? Degree,9,9927,6532,36.99,0.65,Australia,59
Arboriculturist,Finance,Decreasing,Moderate," $69,439.80 ",Associate Degree,3,972,8870,68.13,53.35,Canada,52.05
Call centre manager,Finance,Increasing,Moderate," $36,711.94 ",Associate Degree,7,9639,743,25.75,44.49,Canada,20.32
Social researcher,Education,Increasing,High," $33,456.93 ",Master? Degree,3,7488,5993,28.09,86.2,Brazil,65.59
Manufacturing systems engineer,Healthcare,Increasing,Low," $69,427.22 ",Bachelor? Degree,5,5919,7920,37.75,96.36,Brazil,65.26
Trade mark attorney,Healthcare,Decreasing,High," $77,581.80 ",Associate Degree,14,6693,8189,57.85,13.51,USA,29.4
"Scientist, research (physical sciences)",Finance,Decreasing,Low," $37,028.29 ",Master? Degree,4,8854,962,77.1,23.57,USA,59.13
Production engineer,Entertainment,Increasing,Moderate," $72,444.70 ",Bachelor? Degree,20,3671,8439,99.7,30.15,China,54.17
Arts development officer,Transportation,Increasing,Low," $1,29,113.56 ",Master? Degree,8,3464,2683,61.73,48.88,Australia,45.83
Sports administrator,IT,Decreasing,Moderate," $59,894.93 ",Bachelor? Degree,11,7845,3959,59.58,23.88,Brazil,56.71
"Therapist, occupational",Education,Decreasing,High," $1,18,313.52 ",PhD,8,3186,3317,52.21,53.74,Australia,62.63
"Lecturer, further education",Healthcare,Decreasing,Moderate," $90,604.68 ",High School,10,5424,7920,69.25,79.29,India,20.98
"Geologist, engineering",Education,Decreasing,Low," $99,081.51 ",Associate Degree,10,5828,7545,9.68,32.94,India,35.23
"Pharmacist, hospital",Finance,Increasing,Low," $1,01,849.15 ",PhD,3,3901,5922,63.45,54.82,Brazil,68.63
Retail buyer,Retail,Increasing,High," $48,168.95 ",Bachelor? Degree,16,1736,2810,96.45,96.16,UK,31.91
Teaching laboratory technician,Education,Increasing,Moderate," $1,48,548.22 ",Master? Degree,8,3571,3759,82.87,21.51,UK,27.11
"Optician, dispensing",Healthcare,Decreasing,High," $1,10,871.68 ",Associate Degree,0,3688,7321,76.2,8.93,China,37.82
"Engineer, agricultural",Healthcare,Decreasing,Moderate," $82,895.14 ",Bachelor? Degree,18,8167,4743,45.55,4.89,Canada,30.24
Diplomatic Services operational officer,Education,Decreasing,Moderate," $1,02,838.05 ",PhD,10,3724,2871,90.45,83.9,Germany,42.38
